Note,Pedon,SiO2,TiO2,Fe2O3,Al2O3,MnO,CaO,MgO,K2O,Na2O,P2O5,MAP,MAT,USDA,Cat#,,
Bk?,111,66.27,0.6,3.8,13.38,0.04,4.42,1.6,3.07,1.55,0.13,451,8.7,oll,6,,
Bk?,112,57.94,1.07,5.19,12.62,0.06,7.65,1.58,2.17,1.07,0.23,376,8.7,oll,6,,
Bk?,113,62.36,0.46,2.82,13.68,0.06,7.44,1.9,2.4,1.06,0.22,449,8.3,oll,6,,
,114,64.6,0.76,4.92,13.5,0.04,3.49,2.24,2.24,1.32,0.16,397,5.3,oll,6,,
,115,65.59,0.57,3.97,12.34,0.045,4.37,1.26,2.18,1.54,0.14,392,7.2,id,8,,
Bk,116,61.7,0.51,2.96,11.84,0.05,8.16,1.84,2.55,1.46,0.17,495,12.1,oll,6,,
Bk,117,60.8,0.39,3.6,13.78,0.04,7.78,1.66,1.94,2.46,0.025,356,11.5,oll,6,,
,118,58.06,0.49,3.1,9.67,0.05,10.8,3.41,1.98,1.8,0.18,236,9.8,id,8,,
Bk,119,51.15,0.45,3.77,9.39,0.04,16.07,1.6,1.8,0.9,0.17,191,21.3,id,8,,
Bk,120,57.78,0.51,3.67,12.85,0.095,8.61,2.5,2.61,1.26,0.15,221,6.7,id,8,,
,121,46.4,0.49,4.15,9.53,0.02,14.55,4.34,2.09,1.16,0.24,179,9.6,ent,5,,
,122,52.8,0.79,5.43,13.85,0.045,9.74,3.3,1.63,2.36,0.16,300,7.8,id,8,,
,123,58.7,0.73,4.96,14.45,0.055,5.67,2.72,2.54,2.88,0.24,300,7.8,id,8,,
,124,678.8,0.96,5.635,15.79,0.05,1.7,1.31,2.08,1.885,0.245,774,8.6,oll,6,,
,125,67.3,1.25,5.87,15.49,0.072,1.6,1.06,2.17,2.12,0.2,955,11.4,ept,1,,
,126,51.9,0.69,2.03,32.14,0.07,1.19,0.57,1.83,1.36,0.15,934,11.7,alf,3,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1 = Inceptisol,,,,,,,,,,,,,,,,
,2 = Spodosol,,,,,,,,,,,,,,,,
,3 = Alfisol,,,,,,,,,,,,,,,,
,4 = Ultisol,,,,,,,,,,,,,,,,
,5 = Entisol,,,,,,,,,,,,,,,,
,6 = Mollisol,,,,,,,,,,,,,,,,
,7 = Vertisol,,,,,,,,,,,,,,,,
,8 = Aridisol,,,,,,,,,,,,,,,,
